"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Sep 18 15:05:10 GMT 2022","Sun Sep 18 15:05:23 GMT 2022","13851","firefox","test1.spec.ts","redmine testcases","","","take a look to quastion page",""
"passed","Sun Sep 18 15:04:56 GMT 2022","Sun Sep 18 15:05:01 GMT 2022","5050","firefox","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sun Sep 18 15:05:17 GMT 2022","Sun Sep 18 15:05:22 GMT 2022","5837","webkit","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sun Sep 18 15:04:47 GMT 2022","Sun Sep 18 15:04:53 GMT 2022","6765","chromium","test1.spec.ts","redmine testcases","","","Open page with users of Redmine from Wiki",""
"passed","Sun Sep 18 15:04:47 GMT 2022","Sun Sep 18 15:04:54 GMT 2022","7101","chromium","test1.spec.ts","redmine testcases","","","Search version page at repository",""
"passed","Sun Sep 18 15:05:16 GMT 2022","Sun Sep 18 15:05:29 GMT 2022","12648","webkit","test1.spec.ts","redmine testcases","","","Search version page at repository",""
"failed","Sun Sep 18 10:57:33 GMT 2022","Sun Sep 18 10:57:44 GMT 2022","10660","chromium","test1.spec.js","redmine testcases","","","use search at the main page",""
"passed","Sun Sep 18 15:05:25 GMT 2022","Sun Sep 18 15:05:35 GMT 2022","9919","webkit","test1.spec.ts","redmine testcases","","","Create new user",""
"failed","Sun Sep 18 10:57:37 GMT 2022","Sun Sep 18 10:57:47 GMT 2022","10367","chromium","test1.spec.js","redmine testcases","","","Register new user",""
"passed","Sun Sep 18 10:57:33 GMT 2022","Sun Sep 18 10:57:39 GMT 2022","5686","chromium","test1.spec.js","redmine testcases","","","Open page with users of Redmine",""
"passed","Thu Sep 15 17:39:31 GMT 2022","Thu Sep 15 17:39:35 GMT 2022","3725","chromium","test1.spec.js","","","","basic test",""
"passed","Sun Sep 18 15:04:51 GMT 2022","Sun Sep 18 15:04:57 GMT 2022","6096","chromium","test1.spec.ts","redmine testcases","","","Create new user",""
"failed","Sun Sep 18 15:05:16 GMT 2022","Sun Sep 18 15:05:31 GMT 2022","14581","webkit","test1.spec.ts","redmine testcases","","","use search at the main page",""
"passed","Sun Sep 18 15:05:02 GMT 2022","Sun Sep 18 15:05:13 GMT 2022","11389","firefox","test1.spec.ts","redmine testcases","","","Open page with users of Redmine from Wiki",""
"passed","Sun Sep 18 15:05:01 GMT 2022","Sun Sep 18 15:05:10 GMT 2022","8975","firefox","test1.spec.ts","redmine testcases","","","Create new user",""
"failed","Sun Sep 18 10:57:33 GMT 2022","Sun Sep 18 10:57:43 GMT 2022","9938","chromium","test1.spec.js","redmine testcases","","","use repository page",""
"passed","Sun Sep 18 15:05:22 GMT 2022","Sun Sep 18 15:05:29 GMT 2022","6691","webkit","test1.spec.ts","redmine testcases","","","Open page with users of Redmine from Wiki",""
"failed","Sun Sep 18 15:04:47 GMT 2022","Sun Sep 18 15:04:57 GMT 2022","10595","chromium","test1.spec.ts","redmine testcases","","","use search at the main page",""
"passed","Sun Sep 18 15:04:47 GMT 2022","Sun Sep 18 15:04:50 GMT 2022","3861","chromium","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"failed","Sun Sep 18 15:04:59 GMT 2022","Sun Sep 18 15:05:15 GMT 2022","16081","firefox","test1.spec.ts","redmine testcases","","","Search version page at repository",""
"failed","Sun Sep 18 15:04:58 GMT 2022","Sun Sep 18 15:05:15 GMT 2022","16709","firefox","test1.spec.ts","redmine testcases","","","use search at the main page",""
"passed","Sun Sep 18 15:05:29 GMT 2022","Sun Sep 18 15:05:39 GMT 2022","10563","webkit","test1.spec.ts","redmine testcases","","","take a look to quastion page",""
"passed","Thu Sep 15 17:39:31 GMT 2022","Thu Sep 15 17:39:37 GMT 2022","6342","firefox","test1.spec.js","","","","basic test",""
"passed","Sun Sep 18 10:57:39 GMT 2022","Sun Sep 18 10:57:44 GMT 2022","4685","chromium","test1.spec.js","redmine testcases","","","take a look to quastion page",""
"passed","Thu Sep 15 17:39:37 GMT 2022","Thu Sep 15 17:39:40 GMT 2022","2675","webkit","test1.spec.js","","","","basic test",""
"passed","Sun Sep 18 15:04:53 GMT 2022","Sun Sep 18 15:04:59 GMT 2022","5433","chromium","test1.spec.ts","redmine testcases","","","take a look to quastion page",""
